2022-03-03 03:22:57.048616|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:22:57.048681|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:22:59.054334|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:22:59.054459|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:32:55.306583|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:32:55.306819|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:32:57.015508|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:32:57.015622|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:32:59.022441|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:32:59.022517|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:42:55.332419|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:42:55.332750|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:42:57.037008|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:42:57.037108|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:42:59.080115|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:42:59.080193|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:52:55.311462|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:52:55.311683|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:52:57.015640|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:52:57.015710|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 03:52:59.024878|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 03:52:59.024965|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:02:55.308975|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:02:55.309221|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:02:57.016272|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:02:57.016366|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:02:59.022961|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:02:59.023043|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:12:55.369485|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:12:55.369708|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:12:57.075802|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:12:57.075876|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:12:59.081183|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:12:59.081257|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:22:55.404464|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:22:55.404700|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:22:57.008873|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:22:57.008988|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:22:59.047456|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:22:59.047538|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:32:55.525080|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:32:55.525302|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:32:57.028931|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:32:57.029012|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:32:59.033407|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:32:59.033499|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:42:55.586800|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:42:55.587031|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:42:57.090701|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:42:57.090773|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:42:59.094966|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:42:59.095040|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:52:55.562849|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:52:55.563094|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:52:57.068062|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:52:57.068134|ERROR   |              |   |TS3ANetwork::Send failed error: 111
2022-03-03 04:52:59.072671|ERROR   |              |   |TS3ANetwork::Send failed error: 1
2022-03-03 04:52:59.072752|ERROR   |              |   |TS3ANetwork::Send failed error: 111
